trade_date,stock_id,foreign_buy_shares,foreign_sell_shares,trust_buy_shares,trust_sell_shares,dealer_buy_shares,dealer_sell_shares
2025-12-16,5245,1000000,2000000,0,0,0,0
2025-12-16,5251,53000000,44000000,0,0,5000000,5152000
2025-12-16,5263,33000000,50000000,0,0,20000000,0
2025-12-16,5272,4000000,3000000,0,0,0,7000
2025-12-16,5274,372007000,500688000,108483000,24000000,17193000,13401000
2025-12-16,5278,65000000,135000000,0,0,2000000,1481000
2025-12-16,5287,19000000,16864000,0,0,0,0
2025-12-16,5289,641010000,948002000,1000000,6000000,54873000,110174000
2025-12-16,5291,4000000,1000000,0,0,0,0
2025-12-16,5299,1000000,6000000,0,0,0,0
2025-12-16,5301,0,5000000,0,0,0,0
2025-12-16,5302,8000000,8000000,0,0,0,0
2025-12-16,5309,8014130000,12176010000,0,5000000,299912000,677043000
2025-12-16,5312,7000000,5000000,0,0,0,0
2025-12-16,5314,1631315000,1213050000,0,0,60518000,59764000
2025-12-16,5315,390000000,149000000,0,0,0,0
2025-12-16,5321,2000000,15000000,0,0,0,0
2025-12-16,5328,659000000,747000000,0,0,3000000,2455000
2025-12-16,5340,1277000000,579000000,0,0,4000000,60519000
2025-12-16,5347,3363080000,3588000000,489430000,6165000,231170000,226918000
2025-12-16,5351,923000000,2145000000,0,0,17000000,17655000
2025-12-16,5353,0,1000000,0,0,0,0
2025-12-16,5355,0,32000000,0,0,0,0
2025-12-16,5356,0,9000000,0,0,0,0
2025-12-16,5364,2000000,12000000,0,0,0,0
2025-12-16,5371,875150000,1741730000,0,3457000,87050000,712182000
2025-12-16,5381,1188000000,2214000000,0,0,14188000,730000
2025-12-16,5386,94075000,233001000,0,0,0,0
2025-12-16,5392,516000000,300000000,0,0,7000,238097000
2025-12-16,5398,17000000,68000000,0,0,0,0
2025-12-16,5403,3000000,1000000,0,0,0,0
2025-12-16,5410,18000000,127000000,0,0,2000000,1447000
2025-12-16,5425,348000000,753084000,0,4127000,40000000,131488000
2025-12-16,5426,20000000,114000000,0,0,8000000,8163000
2025-12-16,5432,100000000,155000000,0,0,0,1000
2025-12-16,5438,58000000,40000000,0,0,0,1000
2025-12-16,5439,2386000000,3221000000,33000000,1000000,240728000,297600000
2025-12-16,5443,242000000,196000000,0,0,5146000,26357000
2025-12-16,5450,4000000,0,0,0,0,0
2025-12-16,5452,329000000,643000000,0,0,1000000,287000
2025-12-16,5455,0,2000000,0,0,0,0
2025-12-16,5457,97000000,66000000,0,7000000,9489000,6000000
2025-12-16,5460,5000000,1000000,0,0,0,0
2025-12-16,5464,1000000,0,0,0,1000000,0
2025-12-16,5465,41000000,112000000,0,0,50000,35000
2025-12-16,5468,9000000,48000000,0,0,0,0
2025-12-16,5474,9000000,47000000,0,0,4024000,6822000
2025-12-16,5475,229000000,108000000,0,0,0,0
2025-12-16,5478,18000000,79276000,0,0,1000000,990000
2025-12-16,5481,60000000,200000000,0,0,0,0
