stock_id,stock_name,stock_type
2609,陽明,TW
2610,華航,TW
2611,志信,TW
2612,中航,TW
2613,中櫃,TW
2614,東森,TW
2615,萬海,TW
2616,山隆,TW
2617,台航,TW
2618,長榮航,TW
2630,亞航,TW
2633,台灣高鐵,TW
2634,漢翔,TW
2636,台驊控股,TW
2637,慧洋-KY,TW
2642,宅配通,TW
2645,長榮航太,TW
2646,星宇航空,TW
2701,萬企,TW
2702,華園,TW
2704,國賓,TW
2705,六福,TW
2706,第一店,TW
2707,晶華,TW
2712,遠雄來,TW
2722,夏都,TW
2723,美食-KY,TW
2727,王品,TW
2731,雄獅,TW
2739,寒舍,TW
2748,雲品,TW
2753,八方雲集,TW
2762,世界健身-KY,TW
2801,彰銀,TW
2812,台中銀,TW
2816,旺旺保,TW
2820,華票,TW
2832,台產,TW
2834,臺企銀,TW
2836,高雄銀,TW
2838,聯邦銀,TW
2845,遠東銀,TW
2849,安泰銀,TW
2850,新產,TW
2851,中再保,TW
2852,第一保,TW
2855,統一證,TW
2867,三商壽,TW
2880,華南金,TW
2881,富邦金,TW
2882,國泰金,TW
2883,凱基金,TW
2884,玉山金,TW
2885,元大金,TW
2886,兆豐金,TW
2887,台新新光金,TW
2889,國票金,TW
2890,永豐金,TW
2891,中信金,TW
2892,第一金,TW
2897,王道銀行,TW
2901,欣欣,TW
2903,遠百,TW
2904,匯僑,TW
2905,三商,TW
2906,高林,TW
2908,特力,TW
2910,統領,TW
2911,麗嬰房,TW
2912,統一超,TW
2913,農林,TW
2915,潤泰全,TW
2923,鼎固-KY,TW
2929,淘帝-KY,TW
2939,永邑-KY,TW
2945,三商家購,TW
3002,歐格,TW
3003,健和興,TW
3004,豐達科,TW
3005,神基,TW
3006,晶豪科,TW
3008,大立光,TW
3010,華立,TW
3011,今皓,TW
3013,晟銘電,TW
3014,聯陽,TW
3015,全漢,TW
3016,嘉晶,TW
3017,奇鋐,TW
3018,隆銘綠能,TW
3019,亞光,TW
3021,鴻名,TW
3022,威強電,TW
3023,信邦,TW
3024,憶聲,TW
3025,星通,TW
3026,禾伸堂,TW
3027,盛達,TW
3028,增你強,TW
3029,零壹,TW
3030,德律,TW
3031,佰鴻,TW
3032,偉訓,TW
3033,威健,TW
3034,聯詠,TW
3035,智原,TW
3036,文曄,TW
3037,欣興,TW
3038,全台,TW
3040,遠見,TW
3041,揚智,TW
3042,晶技,TW
3043,科風,TW
3044,健鼎,TW
3045,台灣大,TW
3046,建��,TW
3047,訊舟,TW
3048,益登,TW
3049,精金,TW
3050,鈺德,TW
3051,力特,TW
3052,夆典,TW
3054,立萬利,TW
3055,蔚華科,TW
3056,富華新,TW
3057,喬鼎,TW
3058,立德,TW
3059,華晶科,TW
3060,銘異,TW
3062,建漢,TW
3090,日電貿,TW
3092,鴻碩,TW
3094,聯傑,TW
3130,一零四,TW
3135,凌航,TW
3138,耀登,TW
3149,正達,TW
3164,景岳,TW
3167,大量,TW
3168,眾福科,TW
3189,景碩,TW
3209,全科,TW
3229,晟鈦,TW
3231,緯創,TW
3257,虹冠電,TW
3266,昇陽,TW
3296,勝德,TW
3305,昇貿,TW
3308,聯德,TW
3311,閎暉,TW
3312,弘憶股,TW
3321,同泰,TW
3338,泰碩,TW
3346,麗清,TW
3356,奇偶,TW
3376,新日興,TW
3380,明泰,TW
3406,玉晶光,TW
3413,京鼎,TW
3416,融程電,TW
3419,譁裕,TW
3432,台端,TW
3437,榮創,TW
3443,創意,TW
3447,展達,TW
3450,聯鈞,TW
3454,晶睿,TW
3481,群創,TW
3494,誠研,TW
3501,維熹,TW
3504,揚明光,TW
3515,華擎,TW
3518,柏騰,TW
3528,安馳,TW
3530,晶相光,TW
3532,台勝科,TW
3533,嘉澤,TW
3535,晶彩科,TW
3543,州巧,TW
3545,敦泰,TW
3550,聯穎,TW
3557,嘉威,TW
3563,牧德,TW
3576,聯合再生,TW
3583,辛耘,TW
3588,通嘉,TW
3591,艾笛森,TW
3592,瑞鼎,TW
3593,力銘,TW
3596,智易,TW
3605,宏致,TW
3607,谷崧,TW
3617,碩天,TW
3622,洋華,TW
3645,達邁,TW
3652,精聯,TW
3653,健策,TW
3661,世芯-KY,TW
3665,貿聯-KY,TW
3669,圓展,TW
3673,TPK-KY,TW
3679,新至陞,TW
3686,達能,TW
3694,海華,TW
3701,大眾控,TW
3702,大聯大,TW
3703,欣陸,TW
3704,合勤控,TW
3705,永信,TW
3706,神達,TW
3708,上緯投控,TW
3711,日月光投控,TW
3712,永崴投控,TW
3714,富采,TW
3715,定穎投控,TW
3716,中化控股,TW
3717,聯嘉投控,TW
4104,佳醫,TW
4106,雃博,TW
4108,懷特,TW
4119,旭富,TW
4133,亞諾法,TW
4137,麗豐-KY,TW
4142,國光生,TW
4148,全宇生技-KY,TW
4155,訊映,TW
4164,承業醫,TW
4190,佐登-KY,TW
4306,炎洲,TW
4414,如興,TW
4426,利勤,TW
4438,廣越,TW
4439,冠星-KY,TW
4440,宜新實業,TW
4441,振大環球,TW
4526,東台,TW
4532,瑞智,TW
4536,拓凱,TW
4540,全球傳動,TW
4545,銘鈺,TW
4551,智伸科,TW
4552,力達-KY,TW
4555,氣立,TW
4557,永新-KY,TW
4560,強信-KY,TW
4562,穎漢,TW
4564,元翎,TW
4566,時碩工業,TW
4569,六方科-KY,TW
4571,鈞興-KY,TW
4572,駐龍,TW
4576,大銀微系統,TW
4581,光隆精密-KY,TW
4583,台灣精銳,TW
4585,達明,TW
4588,玖鼎電力,TW
4720,德淵,TW
4722,國精化,TW
4736,泰博,TW
4737,華廣,TW
4739,康普,TW
4746,台耀,TW
4755,三福化,TW
